DISTRICT,YEAR,MONTH,SEASON,RAINFALL(in mm),TEMPERATURE(in Celsius),CROPS,SUCCESSFUL CROPS,MARKET RATE(per kg)(in Rupees)
Salem,2015,September,Kharif,97.4,28,Pepper,Tomatoes,70
Salem,2015,October,Kharif,187.6,27.9,Coffee,Tomatoes,75
Salem,2015,November,Rabi,134.5,27,Coconut ,Pepper,600
Salem,2015,December,Rabi,66.8,26.9,Oilseeds,Pepper,700
Salem,2016,January,Rabi,63.6,26.5,Tomatoes,Banana,55
Salem,2016,February,Rabi,2.2,29.5,Banana,Banana,60
Salem,2016,March,Rabi,14.5,32.1,Tapiaco,Sugarcane,35
Salem,2016,April,Kharif,94.4,33.5,Sugarcane,Sugarcane,35
Salem,2016,May,Kharif,103.4,34.1,Mango,Mango,120
Salem,2016,June,Kharif,87.7,31.1,Lemon,Lemon,75
Salem,2016,July,Kharif,118.4,30.1,Onion,Coconut,35
Salem,2016,August,Kharif,175.6,29.3,Turmeric,Coconut,35
Salem,2016,September,Kharif,98.5,28.9,Pepper,Coconut,40
Salem,2016,October,Kharif,228.7,28.4,Coffee,Oilseeds,100
Salem,2016,November,Rabi,197.8,26.4,Coconut ,Oilseeds,120
Salem,2016,December,Rabi,118.8,25.6,Oilseeds,Oilseeds,120
Salem,2017,January,Rabi,3.4,27.4,Tomatoes,Lemon,70
Salem,2017,February,Rabi,12.3,29.9,Banana,Banana,65
Salem,2017,March,Rabi,30.4,30.9,Tapiaco,Mango,100
Salem,2017,April,Kharif,11.3,32.4,Sugarcane,Mango,120
Salem,2017,May,Kharif,145.6,33.7,Mango,Sugarcane,35
Salem,2017,June,Kharif,77.5,30.8,Lemon,Sugarcane,40
Salem,2017,July,Kharif,89.7,30,Onion,Sugarcane,35
Salem,2017,August,Kharif,66.7,29,Turmeric,Pepper,500
Salem,2017,September,Kharif,123.6,28.7,Pepper,Turmeric,120
Salem,2017,October,Kharif,99.6,28.4,Coffee,Turmeric,135
Salem,2017,November,Rabi,81.2,27.4,Coconut ,Turmeric,150
Salem,2017,December,Rabi,11.6,26.9,Oilseeds,Coconut,35
Salem,2018,January,Rabi,2.4,25.9,Tomatoes,Coconut,35
Salem,2018,February,Rabi,13,28.9,Banana,Coconut,35
Salem,2018,March,Rabi,31.1,31.6,Tapiaco,Mango,100
Salem,2018,April,Kharif,10.4,32.7,Sugarcane,Mango,120
Salem,2018,May,Kharif,137.7,33.9,Mango,Sugarcane,35
Salem,2018,June,Kharif,77.6,30.9,Lemon,Sugarcane,35
Salem,2018,July,Kharif,79.4,29.8,Onion,Sugarcane,35
Salem,2018,August,Kharif,54.6,28.4,Turmeric,Onion,65
Salem,2018,September,Kharif,119,28.4,Pepper,Onion,70
Salem,2018,October,Kharif,92.5,27.6,Coffee,Onion,75
Salem,2018,November,Rabi,83.5,26.4,Coconut ,Oilseeds,100
Salem,2018,December,Rabi,11.6,25.9,Oilseeds,Oilseeds,120
Salem,2019,January,Rabi,3.9,27.8,Tomatoes,Oilseeds,120
Salem,2019,February,Rabi,2.1,30.4,Banana,Coconut,35
Salem,2019,March,Rabi,2.4,31.5,Tapiaco,Coconut,40
Salem,2019,April,Kharif,69,33.7,Sugarcane,Sugarcane,40
Salem,2019,May,Kharif,43,35.6,Mango,Sugarcane,40
Salem,2019,June,Kharif,53.5,31.7,Lemon,Sugarcane,35
Salem,2019,July,Kharif,52.5,30.9,Onion,Turmeric,140
Salem,2019,August,Kharif,125.2,29.8,Turmeric,Turmeric,150
Salem,2019,September,Kharif,260.9,28.7,Pepper,Turmeric,180
Salem,2019,October,Kharif,172.9,28,Coffee,Coffee,500
Salem,2019,November,Rabi,104.7,27.6,Coconut ,Coffee,600
Salem,2019,December,Rabi,37.6,26.5,Oilseeds,Lemon,80
Salem,2020,January,Rabi,1.1,27.1,Tomatoes,Coconut,35
Salem,2020,February,Rabi,0,30,Banana,Coconut,35
Salem,2020,March,Rabi,0,32.6,Tapiaco,Sugarcane,35
Salem,2020,April,Kharif,64.1,34.6,Sugarcane,Sugarcane,35
Salem,2020,May,Kharif,49.5,35.6,Mango,Mango,120
Salem,2020,June,Kharif,36.9,31.7,Lemon,Oilseeds,100
Salem,2020,July,Kharif,212,30,Onion,Oilseeds,120
Salem,2020,August,Kharif,131.7,28.9,Turmeric,Lemon,100
Salem,2020,September,Kharif,177.7,28.7,Pepper,Tapiaco,45
Salem,2020,October,Kharif,16.2,28,Coffee,Pepper,600
Salem,2020,November,Rabi,96.3,27.6,Coconut ,Pepper,800
Salem,2020,December,Rabi,81.1,26.9,Oilseeds,Turmeric,140
Salem,2021,January,Rabi,53.4,27.6,Tomatoes,Turmeric,160
Salem,2021,February,Rabi,9.1,28.9,Banana,Turmeric,180
Salem,2021,March,Rabi,0,30.6,Tapiaco,Mango,100
Salem,2021,April,Kharif,52.8,32.6,Sugarcane,Mango,120
Salem,2021,May,Kharif,67.2,33.8,Mango,Mango,150
Salem,2021,June,Kharif,90.7,31,Lemon,Tomatoes,95
Salem,2021,July,Kharif,168,29.8,Onion,Tomatoes,110
Salem,2021,August,Kharif,73.4,28,Turmeric,Tomatoes,120
Salem,2021,September,Kharif,117.6,28.7,Pepper,Tomatoes,120
Salem,2021,October,Kharif,186.2,27.9,Coffee,Coconut,35
Salem,2021,November,Rabi,254,27,Coconut ,Coconut,35
Salem,2021,December,Rabi,41.2,26.9,Oilseeds,Coconut,35
Salem,2022,January,Rabi,11.3,30.4,Tomatoes,Banana,65
Salem,2022,February,Rabi,0,31.5,Banana,Sugarcane,35
Salem,2022,March,Rabi,18.8,32.7,Tapiaco,Sugarcane,40
Salem,2022,April,Kharif,71.2,33.7,Sugarcane,Sugarcane,40
Salem,2022,May,Kharif,152.8,34.7,Mango,Mango,150
Salem,2022,June,Kharif,104.8,31.4,Lemon,Mango,150
Salem,2022,July,Kharif,143.9,31,Onion,Coffee,600
Salem,2022,August,Kharif,146.1,29.7,Turmeric,Oilseeds,120
Salem,2022,September,Kharif,97.9,29.5,Pepper,Oilseeds,140
Salem,2022,October,Kharif,179.8,28.4,Coffee,Lemon,100
Salem,2022,November,Rabi,112.5,27.6,Coconut ,Coffee,600
Salem,2022,December,Rabi,68.8,26.5,Oilseeds,Coffee,650
Salem,2023,January,Rabi,3.1,26.6,Tomatoes,Banana,65
Salem,2023,February,Rabi,2.2,29.8,Banana,Banana,60
Salem,2023,March,Rabi,3.5,32.2,Tapiaco,Sugarcane,35
Salem,2023,April,Kharif,0.23,34.1,Sugarcane,Sugarcane,40
Salem,2023,May,Kharif,0,34.5,Mango,Mango,150
Salem,2023,June,Kharif,11.9,31.2,Lemon,Tomatoes,100
Salem,2023,July,Kharif,10.5,30.3,Onion,Tomatoes,120
Salem,2023,August,Kharif,8.8,29.5,Turmeric,Oilseeds,120
Salem,2023,September,Kharif,6.6,29,Pepper,Lemon,100
Salem,2023,October,Kharif,8.7,28.6,Coffee,Coconut,35
Salem,2023,November,Rabi,15.5,26.7,Coconut ,Coconut,35
Salem,2023,December,Rabi,28.7,25.9,Oilseeds,Banana,65
Sivagangai,2007,January,Rabi,10.3,26.5,Paddy ,Paddy,70
Sivagangai,2007,February,Rabi,3.4,28.6,Groundnut,Paddy,75
Sivagangai,2007,March,Rabi,28.9,31.2,Sugarcane,Sugarcane,35
Sivagangai,2007,April,Kharif,34.5,34.5,Turmeric,Sugarcane,35
Sivagangai,2007,May,Kharif,198.6,35.7,Chilli,Sugarcane,40
Sivagangai,2007,June,Kharif,67.8,33.4,Banana,Sugarcane,40
Sivagangai,2007,July,Kharif,88.7,32.1,Coconut ,Sugarcane,35
Sivagangai,2007,August,Kharif,99.1,32.6,Black gram,Coconut,40
Sivagangai,2007,September,Kharif,151.2,31.8,Green gram,Coconut,40
Sivagangai,2007,October,Kharif,121.2,29.6,Cotton,Coconut,35
Sivagangai,2007,November,Rabi,154.6,27.6,Tomatoes,Banana,65
Sivagangai,2007,December,Rabi,34.5,26.5,Sesame,Chilli,80
Sivagangai,2008,January,Rabi,1.97,27.6,Paddy ,Groundnut,100
Sivagangai,2008,February,Rabi,10.7,28.9,Groundnut,Groundnut,105
Sivagangai,2008,March,Rabi,1.2,31.5,Sugarcane,Groundnut,110
Sivagangai,2008,April,Kharif,2.2,34.8,Turmeric,Sugarcane,35
Sivagangai,2008,May,Kharif,0,35.9,Chilli,Sugarcane,40
Sivagangai,2008,June,Kharif,24.1,34.8,Banana,Sugarcane,40
Sivagangai,2008,July,Kharif,12.3,32.6,Coconut ,Sugarcane,35
Sivagangai,2008,August,Kharif,23,32.7,Black gram,Cotton,60
Sivagangai,2008,September,Kharif,12.5,31.9,Green gram,Cotton,65
Sivagangai,2008,October,Kharif,32,29.8,Cotton,Cotton,65
Sivagangai,2008,November,Rabi,23,27.8,Tomatoes,Sesame,120
Sivagangai,2008,December,Rabi,13.4,26.9,Sesame,Turmeric,120
Sivagangai,2009,January,Rabi,1.3,27.8,Paddy ,Turmeric,125
Sivagangai,2009,February,Rabi,5.2,29.7,Groundnut,Turmeric,140
Sivagangai,2009,March,Rabi,6.9,32.6,Sugarcane,Sugarcane,35
Sivagangai,2009,April,Kharif,41.5,34.8,Turmeric,Sugarcane,40
Sivagangai,2009,May,Kharif,127.1,35.9,Chilli,Sugarcane,40
Sivagangai,2009,June,Kharif,11.4,34.5,Banana,Sugarcane,35
Sivagangai,2009,July,Kharif,55.7,31.2,Coconut ,Tomatoes,65
Sivagangai,2009,August,Kharif,49,30.9,Black gram,Tomatoes,70
Sivagangai,2009,September,Kharif,157.7,29.9,Green gram,Green gram,80
Sivagangai,2009,October,Kharif,160.3,28.9,Cotton,Green gram,85
Sivagangai,2009,November,Rabi,111,28.8,Tomatoes,Green gram,90
Sivagangai,2009,December,Rabi,7.1,27.6,Sesame,Banana,65
Sivagangai,2010,January,Rabi,5.5,27.1,Paddy ,Banana,60
Sivagangai,2010,February,Rabi,2.2,29.2,Groundnut,Coconut,35
Sivagangai,2010,March,Rabi,33.4,32.4,Sugarcane,Coconut,35
Sivagangai,2010,April,Kharif,45.4,34.8,Turmeric,Sugarcane,35
Sivagangai,2010,May,Kharif,167.5,35.9,Chilli,Sugarcane,40
Sivagangai,2010,June,Kharif,66.5,32.5,Banana,Black gram,80
Sivagangai,2010,July,Kharif,76.3,31.7,Coconut ,Black gram,90
Sivagangai,2010,August,Kharif,99.3,31.1,Black gram,Black gram,100
Sivagangai,2010,September,Kharif,114.5,30.7,Green gram,Cotton,60
Sivagangai,2010,October,Kharif,150.3,29.3,Cotton,Cotton,65
Sivagangai,2010,November,Rabi,178.6,27.5,Tomatoes,Cotton,65
Sivagangai,2010,December,Rabi,27.6,26.1,Sesame,Paddy,80
Sivagangai,2011,January,Rabi,2.1,25.9,Paddy ,Paddy,80
Sivagangai,2011,February,Rabi,4.1,27.9,Groundnut,Paddy,85
Sivagangai,2011,March,Rabi,1,30.3,Sugarcane,Coconut,35
Sivagangai,2011,April,Kharif,7.7,32.7,Turmeric,Coconut,40
Sivagangai,2011,May,Kharif,15.4,33.7,Chilli,Coconut,35
Sivagangai,2011,June,Kharif,33.4,31.7,Banana,Sesame,125
Sivagangai,2011,July,Kharif,88.7,30.5,Coconut ,Turmeric,120
Sivagangai,2011,August,Kharif,122.4,29.8,Black gram,Turmeric,130
Sivagangai,2011,September,Kharif,220.2,29,Green gram,Turmeric,140
Sivagangai,2011,October,Kharif,256.6,28.7,Cotton,Banana,55
Sivagangai,2011,November,Rabi,130.5,26.8,Tomatoes,Banana,60
Sivagangai,2011,December,Rabi,121.9,26.1,Sesame,Banana,65
Sivagangai,2012,January,Rabi,6.7,27.1,Paddy ,Green gram,85
Sivagangai,2012,February,Rabi,1.2,27.8,Groundnut,Green gram,90
Sivagangai,2012,March,Rabi,0.45,29.9,Sugarcane,Coconut,35
Sivagangai,2012,April,Kharif,56.6,31.6,Turmeric,Coconut,35
Sivagangai,2012,May,Kharif,78.7,33.7,Chilli,Coconut,40
Sivagangai,2012,June,Kharif,98.7,30.4,Banana,Tomatoes,65
Sivagangai,2012,July,Kharif,56.7,29.9,Coconut ,Tomatoes,70
Sivagangai,2012,August,Kharif,99.3,29.4,Black gram,Groundnut,130
Sivagangai,2012,September,Kharif,154,28.7,Green gram,Groundnut,140
Sivagangai,2012,October,Kharif,165.4,28.5,Cotton,Groundnut,150
Sivagangai,2012,November,Rabi,256.7,28,Tomatoes,Groundnut,150
Sivagangai,2012,December,Rabi,178.3,27.6,Sesame,Turmeric,100
Sivagangai,2013,January,Rabi,161.1,27.1,Paddy ,Turmeric,120
Sivagangai,2013,February,Rabi,4.5,28.8,Groundnut,Turmeric,150
Sivagangai,2013,March,Rabi,14.5,30.9,Sugarcane,Coconut,35
Sivagangai,2013,April,Kharif,27.8,31.3,Turmeric,Coconut,35
Sivagangai,2013,May,Kharif,65.5,33.7,Chilli,Chilli,80
Sivagangai,2013,June,Kharif,67.8,29.5,Banana,Cotton,35
Sivagangai,2013,July,Kharif,63.4,29.4,Coconut ,Cotton,40
Sivagangai,2013,August,Kharif,55.7,28.5,Black gram,Cotton,35
Sivagangai,2013,September,Kharif,162.5,28,Green gram,Black gram,90
Sivagangai,2013,October,Kharif,299.4,27.8,Cotton,Black gram,95
Sivagangai,2013,November,Rabi,400.7,26.8,Tomatoes,Sesame,120
Sivagangai,2013,December,Rabi,34.7,26,Sesame,Paddy,70
Sivagangai,2014,January,Rabi,63.6,26.8,Paddy ,Paddy,75
Sivagangai,2014,February,Rabi,2.2,28.9,Groundnut,Paddy,80
Sivagangai,2014,March,Rabi,14.5,31.6,Sugarcane,Sugarcane,35
Sivagangai,2014,April,Kharif,94.4,34.7,Turmeric,Sugarcane,40
Sivagangai,2014,May,Kharif,103.4,35.9,Chilli,Sugarcane,35
Sivagangai,2014,June,Kharif,87.7,34.7,Banana,Sugarcane,35
Sivagangai,2014,July,Kharif,118.4,32.7,Coconut ,Groundnut,120
Sivagangai,2014,August,Kharif,175.6,32.8,Black gram,Groundnut,125
Sivagangai,2014,September,Kharif,98.5,31.9,Green gram,Groundnut,130
Sivagangai,2014,October,Kharif,228.7,29.9,Cotton,Groundnut,135
Sivagangai,2014,November,Rabi,197.8,27.8,Tomatoes,Chilli,85
Sivagangai,2014,December,Rabi,118.8,26.9,Sesame,Sesame,130
Sivagangai,2015,January,Rabi,114.5,27.7,Paddy ,Banana,55
Sivagangai,2015,February,Rabi,6.7,29.9,Groundnut,Banana,60
Sivagangai,2015,March,Rabi,12.2,32.2,Sugarcane,Banana,65
Sivagangai,2015,April,Kharif,28.8,34.9,Turmeric,Sugarcane,40
Sivagangai,2015,May,Kharif,67.6,36.1,Chilli,Sugarcane,40
Sivagangai,2015,June,Kharif,63.3,31.1,Banana,Cotton,65
Sivagangai,2015,July,Kharif,71.4,30,Coconut ,Cotton,70
Sivagangai,2015,August,Kharif,55.4,29.7,Black gram,Tomatoes,65
Sivagangai,2015,September,Kharif,166.7,29.4,Green gram,Tomatoes,70
Sivagangai,2015,October,Kharif,300.5,29,Cotton,Green gram,80
Sivagangai,2015,November,Rabi,410.3,28.7,Tomatoes,Green gram,85
Sivagangai,2015,December,Rabi,44.6,27.5,Sesame,Groundnut,100
Sivagangai,2016,January,Rabi,1.3,26.5,Paddy ,Groundnut,120
Sivagangai,2016,February,Rabi,5.2,27.8,Groundnut,Groundnut,150
Sivagangai,2016,March,Rabi,6.9,30.4,Sugarcane,Coconut,35
Sivagangai,2016,April,Kharif,41.5,32.4,Turmeric,Coconut,40
Sivagangai,2016,May,Kharif,127.1,34.7,Chilli,Sugarcane,40
Sivagangai,2016,June,Kharif,11.4,34.8,Banana,Sugarcane,40
Sivagangai,2016,July,Kharif,55.7,31.2,Coconut ,Turmeric,130
Sivagangai,2016,August,Kharif,49,30.2,Black gram,Turmeric,140
Sivagangai,2016,September,Kharif,157.7,29.7,Green gram,Turmeric,160
Sivagangai,2016,October,Kharif,160.3,29,Cotton,Black gram,90
Sivagangai,2016,November,Rabi,111,28.7,Tomatoes,Paddy,75
Sivagangai,2016,December,Rabi,7.1,27.6,Sesame,Paddy,80
Sivagangai,2017,January,Rabi,63.6,26,Paddy ,Paddy,85
Sivagangai,2017,February,Rabi,2.2,28.7,Groundnut,Banana,60
Sivagangai,2017,March,Rabi,14.5,31.7,Sugarcane,Banana,65
Sivagangai,2017,April,Kharif,94.4,34.6,Turmeric,Sugarcane,35
Sivagangai,2017,May,Kharif,103.4,35.9,Chilli,Sugarcane,40
Sivagangai,2017,June,Kharif,87.7,33.7,Banana,Sugarcane,40
Sivagangai,2017,July,Kharif,118.4,32.5,Coconut ,Sugarcane,35
Sivagangai,2017,August,Kharif,175.6,32.7,Black gram,Coconut,65
Sivagangai,2017,September,Kharif,98.5,31.9,Green gram,Coconut,70
Sivagangai,2017,October,Kharif,228.7,29.8,Cotton,Coconut,75
Sivagangai,2017,November,Rabi,197.8,27.8,Tomatoes,Chilli,75
Sivagangai,2017,December,Rabi,118.8,26.9,Sesame,Cotton,65
Sivagangai,2018,January,Rabi,2.9,26.3,Paddy ,Cotton,65
Sivagangai,2018,February,Rabi,1.2,27.6,Groundnut,Cotton,70
Sivagangai,2018,March,Rabi,26.9,30.3,Sugarcane,Sugarcane,35
Sivagangai,2018,April,Kharif,38.6,34.1,Turmeric,Sugarcane,40
Sivagangai,2018,May,Kharif,219.3,35.2,Chilli,Sugarcane,40
Sivagangai,2018,June,Kharif,55.1,32.4,Banana,Black gram,80
Sivagangai,2018,July,Kharif,64.4,31.2,Coconut ,Black gram,90
Sivagangai,2018,August,Kharif,81.7,31.8,Black gram,Chilli,85
Sivagangai,2018,September,Kharif,104.5,30.2,Green gram,Groundnut,110
Sivagangai,2018,October,Kharif,149.6,29.4,Cotton,Groundnut,120
Sivagangai,2018,November,Rabi,165.9,27.6,Tomatoes,Groundnut,130
Sivagangai,2018,December,Rabi,22.5,26.2,Sesame,Turmeric,130
Sivagangai,2019,January,Rabi,0,26.1,Paddy ,Turmeric,150
Sivagangai,2019,February,Rabi,3.1,28,Groundnut,Turmeric,160
Sivagangai,2019,March,Rabi,0,29.8,Sugarcane,Coconut,35
Sivagangai,2019,April,Kharif,4.9,33.4,Turmeric,Coconut,40
Sivagangai,2019,May,Kharif,12.3,34.7,Chilli,Sugarcane,35
Sivagangai,2019,June,Kharif,22,32.4,Banana,Sugarcane,40
Sivagangai,2019,July,Kharif,85.5,31.8,Coconut ,Banana,65
Sivagangai,2019,August,Kharif,125.1,31.1,Black gram,Tomatoes,80
Sivagangai,2019,September,Kharif,221.4,30.4,Green gram,Tomatoes,90
Sivagangai,2019,October,Kharif,266.5,29,Cotton,Tomatoes,110
Sivagangai,2019,November,Rabi,113.5,28.7,Tomatoes,Green gram,90
Sivagangai,2019,December,Rabi,112,27.6,Sesame,Green gram,95
Sivagangai,2020,January,Rabi,4.7,27.8,Paddy ,Banana,60
Sivagangai,2020,February,Rabi,0,29.9,Groundnut,Banana,65
Sivagangai,2020,March,Rabi,0,32.4,Sugarcane,Sugarcane,35
Sivagangai,2020,April,Kharif,53.5,35.1,Turmeric,Sugarcane,40
Sivagangai,2020,May,Kharif,74.4,36.7,Chilli,Sugarcane,40
Sivagangai,2020,June,Kharif,78.6,31.2,Banana,Tomatoes,70
Sivagangai,2020,July,Kharif,99.6,30.6,Coconut ,Tomatoes,75
Sivagangai,2020,August,Kharif,75.5,29.9,Black gram,Groundnut,120
Sivagangai,2020,September,Kharif,163,29,Green gram,Groundnut,140
Sivagangai,2020,October,Kharif,151.7,28.8,Cotton,Groundnut,150
Sivagangai,2020,November,Rabi,242.8,27.7,Tomatoes,Paddy,80
Sivagangai,2020,December,Rabi,168.3,26.8,Sesame,Paddy,85
Sivagangai,2021,January,Rabi,117.1,26.9,Paddy ,Paddy,85
Sivagangai,2021,February,Rabi,4,27.9,Groundnut,Banana,65
Sivagangai,2021,March,Rabi,13.7,29.9,Sugarcane,Coconut,35
Sivagangai,2021,April,Kharif,27.5,31.6,Turmeric,Coconut,40
Sivagangai,2021,May,Kharif,64.6,32.4,Chilli,Coconut,40
Sivagangai,2021,June,Kharif,62.7,30.9,Banana,Cotton,65
Sivagangai,2021,July,Kharif,61.8,30,Coconut ,Cotton,70
Sivagangai,2021,August,Kharif,45.6,29.9,Black gram,Black gram,80
Sivagangai,2021,September,Kharif,152.9,29,Green gram,Black gram,85
Sivagangai,2021,October,Kharif,288,28.9,Cotton,Sesame,150
Sivagangai,2021,November,Rabi,339.5,28.7,Tomatoes,Turmeric,140
Sivagangai,2021,December,Rabi,33.6,27.5,Sesame,Turmeric,160
Sivagangai,2022,January,Rabi,19,27.8,Paddy ,Turmeric,180
Sivagangai,2022,February,Rabi,1.6,28.8,Groundnut,Groundnut,140
Sivagangai,2022,March,Rabi,5.7,29.9,Sugarcane,Groundnut,150
Sivagangai,2022,April,Kharif,86.3,32.5,Turmeric,Sugarcane,40
Sivagangai,2022,May,Kharif,48.7,34.8,Chilli,Sugarcane,40
Sivagangai,2022,June,Kharif,111.8,31.1,Banana,Groundnut,150
Sivagangai,2022,July,Kharif,198,30.2,Coconut ,Tomatoes,80
Sivagangai,2022,August,Kharif,184.6,29.9,Black gram,Tomatoes,100
Sivagangai,2022,September,Kharif,91.3,28.4,Green gram,Tomatoes,110
Sivagangai,2022,October,Kharif,208.2,28,Cotton,Paddy,80
Sivagangai,2022,November,Rabi,112.5,27.8,Tomatoes,Paddy,85
Sivagangai,2022,December,Rabi,64.4,27.3,Sesame,Chilli,90
Sivagangai,2023,January,Rabi,3.4,28.9,Paddy ,Paddy,80
Sivagangai,2023,February,Rabi,1.2,29.8,Groundnut,Paddy,85
Sivagangai,2023,March,Rabi,3.1,32.5,Sugarcane,Sugarcane,35
Sivagangai,2023,April,Kharif,0.45,33.8,Turmeric,Sugarcane,40
Sivagangai,2023,May,Kharif,0,35.9,Chilli,Sugarcane,40
Sivagangai,2023,June,Kharif,8.8,31.4,Banana,Tomatoes,110
Sivagangai,2023,July,Kharif,9.1,31,Coconut ,Tomatoes,120
Sivagangai,2023,August,Kharif,12.6,30.9,Black gram,Cotton,70
Sivagangai,2023,September,Kharif,22.3,30,Green gram,Groundnut,120
Sivagangai,2023,October,Kharif,5.5,29.9,Cotton,Groundnut,150
Sivagangai,2023,November,Rabi,18.9,28.8,Tomatoes,Turmeric,150
Sivagangai,2023,December,Rabi,30.2,27.6,Sesame,Turmeric,180
Tenkasi,2007,January,Rabi,12.2,30.2,Paddy ,Paddy,40
Tenkasi,2007,February,Rabi,2.1,33.1,Maize,Paddy,45
Tenkasi,2007,March,Rabi,34.4,34.6,Cotton,Sugarcane,20
Tenkasi,2007,April,Kharif,76.6,35.4,Gingelly,Mango,50
Tenkasi,2007,May,Kharif,89.9,33.2,Groundnut,Mango,55
Tenkasi,2007,June,Kharif,13.4,31.6,Sugarcane,Coconut,25
Tenkasi,2007,July,Kharif,12.6,31.1,Banana,Coconut,30
Tenkasi,2007,August,Kharif,100.4,31.2,Brinjal,Tomatoes,20
Tenkasi,2007,September,Kharif,50.3,31.5,Tomatoes,Turmeric,80
Tenkasi,2007,October,Kharif,78.8,31.4,Beans,Turmeric,85
Tenkasi,2007,November,Rabi,245.3,29.1,Black pepper,Black pepper,500
Tenkasi,2007,December,Rabi,140.5,27.9,Turmeric,Black pepper,550
Tenkasi,2008,January,Rabi,14.3,28.7,Paddy ,Groundnut,100
Tenkasi,2008,February,Rabi,1.5,32.1,Maize,Groundnut,150
Tenkasi,2008,March,Rabi,45.5,33.6,Cotton,Sugarcane,20
Tenkasi,2008,April,Kharif,89.8,34.7,Gingelly,Sugarcane,30
Tenkasi,2008,May,Kharif,91.1,32.1,Groundnut,Mango,50
Tenkasi,2008,June,Kharif,13.5,30.5,Sugarcane,Banana,20
Tenkasi,2008,July,Kharif,12.6,30.9,Banana,Black pepper,600
Tenkasi,2008,August,Kharif,89.9,31.2,Brinjal,Gingelly,120
Tenkasi,2008,September,Kharif,50.5,33.2,Tomatoes,Turmeric,80
Tenkasi,2008,October,Kharif,89.8,32.6,Beans,Turmeric,90
Tenkasi,2008,November,Rabi,234.4,28.5,Black pepper,Okra,30
Tenkasi,2008,December,Rabi,140.4,26.9,Turmeric,Paddy,50
Tenkasi,2009,January,Rabi,14.5,31.2,Paddy ,Paddy,60
Tenkasi,2009,February,Rabi,2.4,32.7,Maize,Sugarcane,30
Tenkasi,2009,March,Rabi,50.6,33.5,Cotton,Sugarcane,40
Tenkasi,2009,April,Kharif,88.7,34.2,Gingelly,Mango,50
Tenkasi,2009,May,Kharif,89.4,32.1,Groundnut,Mango,100
Tenkasi,2009,June,Kharif,13.5,32.5,Sugarcane,Coconut,25
Tenkasi,2009,July,Kharif,22.6,29.8,Banana,Banana,30
Tenkasi,2009,August,Kharif,100.4,29.9,Brinjal,Gingelly,130
Tenkasi,2009,September,Kharif,50.6,32.1,Tomatoes,Gingelly,140
Tenkasi,2009,October,Kharif,90.5,29.3,Beans,Black pepper,700
Tenkasi,2009,November,Rabi,234.6,28.7,Black pepper,Beans,60
Tenkasi,2009,December,Rabi,131.4,26.5,Turmeric,Banana,30
Tenkasi,2010,January,Rabi,18.9,29.8,Paddy ,Banana,60
Tenkasi,2010,February,Rabi,2.3,32.1,Maize,Coconut,45
Tenkasi,2010,March,Rabi,50.6,33.6,Cotton,Sugarcane,35
Tenkasi,2010,April,Kharif,88.8,34.2,Gingelly,Mango,50
Tenkasi,2010,May,Kharif,99.4,32.1,Groundnut,Mango,65
Tenkasi,2010,June,Kharif,16.5,32.4,Sugarcane,Sugarcane,30
Tenkasi,2010,July,Kharif,17.7,32.6,Banana,Coconut,30
Tenkasi,2010,August,Kharif,100.5,29.8,Brinjal,Tomatoes,30
Tenkasi,2010,September,Kharif,50.6,32.1,Tomatoes,Tomatoes,35
Tenkasi,2010,October,Kharif,99.8,29.8,Beans,Okra,35
Tenkasi,2010,November,Rabi,256.6,27.6,Black pepper,Turmeric,80
Tenkasi,2010,December,Rabi,120.4,29.8,Turmeric,Turmeric,90
Tenkasi,2011,January,Rabi,17.5,29.8,Paddy ,Banana,30
Tenkasi,2011,February,Rabi,1.2,32.1,Maize,Coconut,30
Tenkasi,2011,March,Rabi,55.6,33.2,Cotton,Sugarcane,35
Tenkasi,2011,April,Kharif,89.7,34.5,Gingelly,Sugarcane,40
Tenkasi,2011,May,Kharif,87.8,32.6,Groundnut,Mango,55
Tenkasi,2011,June,Kharif,15.4,31.4,Sugarcane,Gingelly,160
Tenkasi,2011,July,Kharif,19.9,29.8,Banana,Black pepper,580
Tenkasi,2011,August,Kharif,99.8,29.7,Brinjal,Brinjal,35
Tenkasi,2011,September,Kharif,58.6,29.8,Tomatoes,Turmeric,90
Tenkasi,2011,October,Kharif,98.7,28.1,Beans,Turmeric,120
Tenkasi,2011,November,Rabi,267,27.6,Black pepper,Turmeric,160
Tenkasi,2011,December,Rabi,8.9,29.8,Turmeric,Groundnut,110
Tenkasi,2012,January,Rabi,18.5,29.5,Paddy ,Groundnut,120
Tenkasi,2012,February,Rabi,2.3,32.1,Maize,Sugarcane,40
Tenkasi,2012,March,Rabi,44.5,33.2,Cotton,Coconut,40
Tenkasi,2012,April,Kharif,87.6,34.6,Gingelly,Mango,60
Tenkasi,2012,May,Kharif,99.8,32.1,Groundnut,Mango,90
Tenkasi,2012,June,Kharif,33.4,32.7,Sugarcane,Gingelly,140
Tenkasi,2012,July,Kharif,35.4,29.8,Banana,Black pepper,500
Tenkasi,2012,August,Kharif,100.3,30.2,Brinjal,Gingelly,125
Tenkasi,2012,September,Kharif,56.5,30.5,Tomatoes,Groundnut,120
Tenkasi,2012,October,Kharif,78.7,29.4,Beans,Groundnut,135
Tenkasi,2012,November,Rabi,245.5,28.6,Black pepper,Beans,65
